date,country,gold,silver,bronze
2018-02-15,OAR,0,1,3
2018-02-15,CZE,0,1,1
2018-02-15,SUI,0,1,1
2018-02-15,SLO,0,1,0
2018-02-15,FIN,0,0,3
2018-02-15,ESP,0,0,1
2018-02-15,KAZ,0,0,1
2018-02-15,BEL,0,0,0
2018-02-15,BLR,0,0,0
2018-02-15,GBR,0,0,0
2018-02-15,HUN,0,0,0
2018-02-15,LAT,0,0,0
2018-02-15,LIE,0,0,0
2018-02-15,NZL,0,0,0
2018-02-15,POL,0,0,0
2018-02-15,UKR,0,0,0
2018-02-16,GER,9,2,4
2018-02-16,NOR,6,8,6
2018-02-16,NED,6,5,2
2018-02-16,USA,5,1,2
2018-02-16,CAN,4,5,4
2018-02-16,SWE,4,2,0
2018-02-16,FRA,3,2,2
2018-02-16,AUT,3,1,4
2018-02-16,ITA,2,1,3
2018-02-16,KOR,2,0,1
2018-02-16,SUI,1,3,1
2018-02-16,BLR,1,0,0
2018-02-16,JPN,0,4,3
2018-02-16,CHN,0,3,1
2018-02-16,OAR,0,2,5
2018-02-16,CZE,0,2,2
2018-02-16,AUS,0,2,1
2018-02-16,SVK,0,2,0
2018-02-16,SLO,0,1,0
2018-02-16,FIN,0,0,3
2018-02-16,ESP,0,0,1
2018-02-16,GBR,0,0,1
2018-02-16,KAZ,0,0,1
2018-02-16,BEL,0,0,0
2018-02-16,HUN,0,0,0
2018-02-16,LAT,0,0,0
2018-02-16,LIE,0,0,0
2018-02-16,NZL,0,0,0
2018-02-16,POL,0,0,0
2018-02-16,UKR,0,0,0
2018-02-17,GER,9,4,4
2018-02-17,NOR,7,8,8
2018-02-17,NED,6,5,2
2018-02-17,CAN,5,5,5
2018-02-17,USA,5,2,2
2018-02-17,SWE,4,3,0
2018-02-17,AUT,3,2,4
2018-02-17,FRA,3,2,2
2018-02-17,KOR,3,0,2
2018-02-17,SUI,2,4,1
2018-02-17,ITA,2,1,3
2018-02-17,JPN,1,5,3
2018-02-17,CZE,1,2,2
2018-02-17,SVK,1,2,0
2018-02-17,BLR,1,1,0
2018-02-17,GBR,1,0,3
2018-02-17,POL,1,0,0
2018-02-17,CHN,0,4,1
2018-02-17,OAR,0,2,6
2018-02-17,AUS,0,2,1
2018-02-17,SLO,0,1,0
2018-02-17,FIN,0,0,3
2018-02-17,ESP,0,0,2
2018-02-17,KAZ,0,0,1
2018-02-17,LIE,0,0,1
2018-02-17,BEL,0,0,0
2018-02-17,HUN,0,0,0
2018-02-17,LAT,0,0,0
2018-02-17,NZL,0,0,0
2018-02-17,UKR,0,0,0
2018-02-18,NOR,9,9,9
2018-02-18,GER,9,5,4
2018-02-18,NED,6,5,2
2018-02-18,CAN,5,5,6
2018-02-18,USA,5,3,2
2018-02-18,SWE,4,3,0
2018-02-18,AUT,4,2,4
2018-02-18,FRA,4,2,4
2018-02-18,KOR,3,1,2
2018-02-18,JPN,2,5,3
2018-02-18,SUI,2,4,1
2018-02-18,ITA,2,1,3
2018-02-18,CZE,1,2,3
2018-02-18,SVK,1,2,0
2018-02-18,BLR,1,1,0
2018-02-18,GBR,1,0,3
2018-02-18,POL,1,0,0
2018-02-18,UKR,1,0,0
2018-02-18,CHN,0,5,1
2018-02-18,OAR,0,3,7
2018-02-18,AUS,0,2,1
2018-02-18,SLO,0,1,0
2018-02-18,FIN,0,0,3
2018-02-18,ESP,0,0,2
2018-02-18,KAZ,0,0,1
2018-02-18,LIE,0,0,1
2018-02-18,BEL,0,0,0
2018-02-18,HUN,0,0,0
2018-02-18,LAT,0,0,0
2018-02-18,NZL,0,0,0
2018-02-19,NOR,11,9,9
2018-02-19,GER,10,6,4
2018-02-19,CAN,6,5,6
2018-02-19,NED,6,5,2
2018-02-19,USA,5,3,2
2018-02-19,SWE,4,3,0
2018-02-19,AUT,4,2,4
2018-02-19,FRA,4,2,4
2018-02-19,KOR,3,2,2
2018-02-19,JPN,2,5,3
2018-02-19,SUI,2,4,1
2018-02-19,ITA,2,1,3
2018-02-19,CZE,1,2,3
2018-02-19,SVK,1,2,0
2018-02-19,BLR,1,1,0
2018-02-19,GBR,1,0,3
2018-02-19,POL,1,0,1
2018-02-19,UKR,1,0,0
2018-02-19,CHN,0,5,2
2018-02-19,OAR,0,3,7
2018-02-19,AUS,0,2,1
2018-02-19,SLO,0,1,0
2018-02-19,FIN,0,0,3
2018-02-19,ESP,0,0,2
2018-02-19,KAZ,0,0,1
2018-02-19,LAT,0,0,1
2018-02-19,LIE,0,0,1
2018-02-19,BEL,0,0,0
2018-02-19,HUN,0,0,0
2018-02-19,NZL,0,0,0
2018-02-20,NOR,11,10,9
2018-02-20,GER,11,7,5
2018-02-20,CAN,8,5,6
2018-02-20,NED,6,5,3
2018-02-20,FRA,5,4,4
2018-02-20,USA,5,3,4
2018-02-20,SWE,4,3,0
2018-02-20,AUT,4,2,4
2018-02-20,KOR,4,2,2
2018-02-20,JPN,2,5,3
2018-02-20,SUI,2,4,1
2018-02-20,ITA,2,2,4
2018-02-20,CZE,1,2,3
2018-02-20,SVK,1,2,0
2018-02-20,BLR,1,1,0
2018-02-20,GBR,1,0,3
2018-02-20,POL,1,0,1
2018-02-20,UKR,1,0,0
2018-02-20,CHN,0,5,2
2018-02-20,OAR,0,3,7
2018-02-20,AUS,0,2,1
2018-02-20,SLO,0,1,0
2018-02-20,FIN,0,0,3
2018-02-20,ESP,0,0,2
2018-02-20,KAZ,0,0,1
2018-02-20,LAT,0,0,1
2018-02-20,LIE,0,0,1
2018-02-20,BEL,0,0,0
2018-02-20,HUN,0,0,0
2018-02-20,NZL,0,0,0
2018-02-21,NOR,13,11,10
2018-02-21,GER,12,7,5
2018-02-21,CAN,9,5,7
2018-02-21,NED,6,6,4
2018-02-21,USA,6,4,6
2018-02-21,FRA,5,4,5
2018-02-21,SWE,4,4,0
2018-02-21,KOR,4,3,2
2018-02-21,AUT,4,2,4
2018-02-21,JPN,3,5,3
2018-02-21,ITA,3,2,4
2018-02-21,SUI,2,5,1
2018-02-21,CZE,1,2,3
2018-02-21,SVK,1,2,0
2018-02-21,BLR,1,1,0
2018-02-21,GBR,1,0,3
2018-02-21,POL,1,0,1
2018-02-21,UKR,1,0,0
2018-02-21,CHN,0,5,2
2018-02-21,OAR,0,4,8
2018-02-21,AUS,0,2,1
2018-02-21,SLO,0,1,0
2018-02-21,FIN,0,0,4
2018-02-21,ESP,0,0,2
2018-02-21,KAZ,0,0,1
2018-02-21,LAT,0,0,1
2018-02-21,LIE,0,0,1
2018-02-21,BEL,0,0,0
2018-02-21,HUN,0,0,0
2018-02-21,NZL,0,0,0
2018-02-22,NOR,13,12,10
2018-02-22,GER,13,7,5
2018-02-22,CAN,9,7,8
2018-02-22,USA,8,7,6
2018-02-22,NED,7,6,4
2018-02-22,SWE,5,5,0
2018-02-22,FRA,5,4,6
2018-02-22,AUT,5,2,6
2018-02-22,KOR,4,4,3
2018-02-22,SUI,3,6,2
2018-02-22,JPN,3,5,3
2018-02-22,ITA,3,2,5
2018-02-22,BLR,2,1,0
2018-02-22,CHN,1,6,2
2018-02-22,CZE,1,2,3
2018-02-22,SVK,1,2,0
2018-02-22,GBR,1,0,3
2018-02-22,POL,1,0,1
2018-02-22,HUN,1,0,0
2018-02-22,UKR,1,0,0
2018-02-22,OAR,0,4,8
2018-02-22,AUS,0,2,1
2018-02-22,SLO,0,1,0
2018-02-22,FIN,0,0,4
2018-02-22,ESP,0,0,2
2018-02-22,NZL,0,0,2
2018-02-22,KAZ,0,0,1
2018-02-22,LAT,0,0,1
2018-02-22,LIE,0,0,1
2018-02-22,BEL,0,0,0
2018-02-23,NOR,13,14,10
2018-02-23,GER,13,7,6
2018-02-23,CAN,10,8,9
2018-02-23,USA,8,7,6
2018-02-23,NED,8,6,4
2018-02-23,SWE,6,5,0
2018-02-23,FRA,5,4,6
2018-02-23,AUT,5,2,6
2018-02-23,KOR,4,4,4
2018-02-23,SUI,3,6,4
2018-02-23,JPN,3,5,3
2018-02-23,ITA,3,2,5
2018-02-23,BLR,2,1,0
2018-02-23,CHN,1,6,2
2018-02-23,OAR,1,5,8
2018-02-23,CZE,1,2,3
2018-02-23,SVK,1,2,0
2018-02-23,GBR,1,0,3
2018-02-23,POL,1,0,1
2018-02-23,HUN,1,0,0
2018-02-23,UKR,1,0,0
2018-02-23,AUS,0,2,1
2018-02-23,SLO,0,1,0
2018-02-23,FIN,0,0,4
2018-02-23,ESP,0,0,2
2018-02-23,NZL,0,0,2
