team_abbr,team_name,team_nick,team_conf,team_division,team_logo_wikipedia,team_logo_espn,team_wordmark,team_conference_logo,team_league_logo,stadium_coord1,stadium_coord2,downtown_coord1,downtown_coord2,distance
MIA,Miami Dolphins,Dolphins,AFC,AFC East,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/MIA.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,25.958,-80.239,25.771,-80.192,13.2
MIN,Minnesota Vikings,Vikings,NFC,NFC North,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/MIN.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,44.974,-93.257,44.976,-93.276,0.9
NE,New England Patriots,Patriots,AFC,AFC East,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,42.091,-71.264,42.356,-71.057,21.1
NO,New Orleans Saints,Saints,NFC,NFC South,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NO.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,29.951,-90.081,29.951,-90.072,0.6
NYG,New York Giants,Giants,NFC,NFC East,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NYG.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,40.814,-74.074,40.721,-74.001,7.5
NYJ,New York Jets,Jets,AFC,AFC East,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NYJ.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,40.814,-74.074,40.721,-74.001,7.5
PHI,Philadelphia Eagles,Eagles,NFC,NFC East,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/PHI.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,39.901,-75.168,39.951,-75.157,3.5
PIT,Pittsburgh Steelers,Steelers,AFC,AFC North,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/PIT.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,40.447,-80.016,40.442,-80,0.9
SEA,Seattle Seahawks,Seahawks,NFC,NFC West,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/SEA.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,47.595,-122.332,47.605,-122.334,0.7
SF,San Francisco 49ers,49ers,NFC,NFC West,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/SF.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,37.403,-121.969,37.794,-122.396,35.7
TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC South,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/TB.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,27.976,-82.503,27.949,-82.456,3.4
TEN,Tennessee Titans,Titans,AFC,AFC South,https://github.com/nflverse/nflfastR-data/raw/master/titans.png,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/TEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,36.166,-86.771,36.169,-86.785,0.8
WAS,Washington Commanders,Commanders,NFC,NFC East,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Washington_commanders.svg/100px-Washington_commanders.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/WAS.png,https://github.com/nflverse/nflfastR-data/raw/master/NFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png,38.908,-76.865,38.904,-77.036,9.2
